duration_sec,start_tag_sec
0.0,0
8.0,8
7.0,15
7.5,22
7.0,29
10.5,40
9.0,49
7.5,56
9.0,65
6.5,72
8.0,80
8.0,88
14.0,102
7.5,110
7.0,117
7.5,124
13.0,137
9.5,146
13.0,159
13.0,172
8.0,180
7.0,187
7.5,194
8.0,202
13.5,216
8.5,224
7.0,231
8.0,239
10.0,249
10.0,259
12.5,272
8.0,280
13.5,294
12.0,306
13.5,320
22.033333333333335,342
8.0,350
12.0,362
12.0,374
12.5,386
11.5,398
12.5,410
10.5,420
11.0,431
13.0,444
10.5,454
11.0,465
9.0,474
9.0,483
20.033333333333335,503
7.5,510
7.0,517
7.5,524
6.0,530
7.0,537
11.5,548
8.0,556
8.0,564
7.5,572
6.0,578
7.0,585
7.5,592
14.0,606
12.5,618
11.5,630
9.5,640
9.0,649
7.5,656
12.5,668
7.0,675
6.0,681
14.0,695
9.0,704
7.5,712
6.5,718
13.5,732
3.5,736
7.0,743
6.5,750
4.0,754
6.5,760
9.5,770
11.5,782
7.0,789
9.5,798
5.5,804
10.5,814
14.5,828
9.0,837
11.0,848
13.5,862
17.033333333333335,879
10.0,889
6.0,895
21.033333333333335,916
7.5,924
7.5,932
7.0,939
8.5,948
13.0,961
8.5,970
7.5,978
8.0,986
9.0,995
12.0,1007
7.5,1014
6.0,1020
7.5,1028
10.0,1038
7.5,1046
7.5,1054
9.0,1063
6.5,1070
8.5,1078
8.5,1086
14.0,1100
7.5,1108
8.0,1116
10.0,1126
10.0,1136
8.5,1144
8.5,1152
11.0,1163
8.0,1171
18.033333333333335,1189
6.5,1196
12.0,1208
14.5,1222
16.5,1238
8.5,1246
9.0,1255
9.5,1264
15.5,1280
11.0,1291
11.5,1302
30.033333333333335,1332
8.5,1340
8.5,1348
6.0,1354
9.5,1364
6.5,1370
8.5,1378
8.0,1386
16.0,1402
10.0,1412
9.5,1422
24.533333333333335,1447
9.5,1456
8.0,1464
10.5,1474
11.0,1485
9.5,1494
8.5,1502
10.0,1512
14.0,1526
7.5,1534
7.0,1541
10.0,1551
10.0,1561
7.0,1568
6.5,1574
8.0,1582
9.0,1591
7.5,1598
9.0,1607
8.5,1616
14.5,1630
7.5,1638
3.5,1642
6.5,1648
2.5,1650
6.0,1656
14.0,1670
10.0,1680
11.5,1692
7.5,1700
10.0,1710
12.5,1722
8.0,1730
8.5,1738
9.0,1747
10.0,1757
15.5,1772
7.5,1780
8.5,1788
7.0,1795
8.0,1803
8.5,1812
9.0,1821
8.5,1830
11.5,1842
13.0,1855
8.0,1863
8.5,1872
10.5,1882
8.5,1890
9.0,1899
8.5,1908
7.5,1916
6.0,1922
5.5,1928
8.5,1936
8.0,1944
12.5,1956
7.5,1964
18.033333333333335,1982
9.0,1991
8.0,1999
9.5,2008
12.5,2020
6.5,2026
6.5,2032
12.0,2044
11.0,2055
10.5,2066
7.5,2074
7.5,2082
7.0,2089
7.5,2096
9.0,2105
7.5,2112
7.0,2119
10.5,2130
6.5,2136
7.5,2144
8.0,2152
10.0,2162
8.0,2170
14.5,2184
8.0,2192
20.033333333333335,2212
7.0,2219
10.0,2229
8.5,2238
8.5,2246
10.0,2256
12.5,2268
9.5,2278
12.5,2290
12.0,2302
7.5,2310
7.0,2317
7.5,2324
10.5,2334
13.0,2347
9.5,2356
15.0,2371
15.5,2386
10.0,2396
13.0,2409
10.0,2419
10.0,2429
9.0,2438
8.5,2446
9.5,2456
9.0,2465
7.5,2472
6.5,2478
10.0,2488
8.5,2496
9.5,2506
10.0,2516
8.5,2524
8.0,2532
9.5,2542
8.5,2550
7.5,2558
13.0,2571
8.5,2580
10.5,2590
15.5,2606
9.0,2615
17.033333333333335,2632
11.5,2644
9.0,2653
11.0,2664
15.5,2680
7.5,2688
5.0,2693
7.0,2700
7.5,2708
5.0,2713
7.5,2720
12.0,2732
5.5,2738
7.0,2745
6.5,2752
7.0,2759
11.0,2770
8.5,2778
7.5,2786
6.5,2792
8.0,2800
6.0,2806
8.0,2814
9.0,2823
7.5,2830
8.0,2838
7.0,2845
5.0,2850
8.5,2858
9.5,2868
8.0,2876
14.5,2890
